"time","mean","stdev","min","max","q1","q3","median","throughput","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
0.1,0.035498939100990647,0.10873700924347458,0.0,0.49940516418380015,0.0,0.020000000000000018,0.010000000000000007,19879405896.554756,0.031945019420814964,0.0,0.020000000000000018,0.03194501942081498,0.0,0.010000000000000007,0.0,0.0,0.0,0.031945019420814985,0.0,0.0,0.020000000000000018,0.0,0.020000000000000014,0.010000000000000009,0.020000000000000018,0.06000000000000006,0.010000000000000009,0.020000000000000018,0.04000000000000004,0.0,0.010000000000000009,0.0,0.0,0.0,0.011945019420814969,0.48940516418380015,0.0,0.47940516418380014,0.0,0.49940516418380015,0.0,0.010000000000000009,0.010000000000000009,0.020000000000000018,0.0,0.011945019420814969,0.0,0.010000000000000007,0.010000000000000007,0.020000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,0.03000000000000003,0.020000000000000018,0.020000000000000014,0.0
0.2,0.15880388334365628,0.29882488477470687,0.0,0.9454147757324417,0.0,0.038541235434388817,0.010000000000000009,88930174672.447525,0.9454147757324417,0.9273597951532564,0.040000000000000036,0.03805498057918508,0.010000000000000009,0.0,0.0,0.0,0.0,0.018054980579185063,0.41222326878081494,0.40222326878081494,0.010000000000000009,0.010000000000000009,0.030000000000000027,0.28903462360897747,0.010000000000000009,0.5923467378657902,0.010000000000000009,0.3433121142568127,0.3533121142568127,0.0,0.0,0.0,0.0,0.030000000000000023,0.9454147757324417,0.9109269744830749,0.0,0.5804448290468627,0.020000000000000018,0.8394794526558401,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.9354147757324415,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.010000000000000009,0.010000000000000009,0.0,0.03000000000000003,0.010000000000000009,0.030000000000000023,0.010000000000000009,0.020000000000000018,0.0,0.0,0.0,0.030000000000000023,0.0
0.3,0.20510596301888256,0.36659317587315338,0.0,1.0000000000000004,0.0,0.048644643019141919,0.010000000000000009,114859339290.57426,0.9900000000000002,0.9900000000000003,0.04864464301914191,0.04864464301914192,0.030000000000000027,0.010000000000000009,0.030000000000000023,0.0,0.0,0.010000000000000007,1.0000000000000004,0.9900000000000003,0.008644643019141881,0.04864464301914191,0.03000000000000003,0.505677678490429,0.0,1.0000000000000002,0.0,0.5156776784904292,0.5056776784904292,0.040000000000000036,0.0,0.020000000000000018,0.0,0.010000000000000007,0.9800000000000002,1.0000000000000002,0.0,0.49500000000000005,0.0,0.9906776784904294,0.0,0.010000000000000007,0.020000000000000014,0.020000000000000018,0.010000000000000009,0.9800000000000002,0.0,0.010000000000000009,0.0,0.0,0.010000000000000009,0.010000000000000009,0.0,0.0,0.020000000000000014,0.0,0.040000000000000036,0.028644643019141897,0.010000000000000007,0.0,0.0,0.0,0.020000000000000018,0.0
0.4,0.24591520551747265,0.37524298892727626,0.0,0.99999999999999978,0.0,0.52432232150957059,0.015677678490429076,137712515089.78476,0.9799999999999993,0.9599999999999993,0.011355356980858137,0.021355356980858147,0.020000000000000018,0.010000000000000009,0.010000000000000007,0.0,0.0,0.0,0.9699999999999993,0.9899999999999993,0.03135535698085815,0.0013553569808581283,0.010000000000000007,0.4893223215095706,0.0,0.9999999999999998,0.010000000000000007,0.5193223215095706,0.5393223215095706,0.0,0.020000000000000018,0.6317963595089758,0.6317963595089758,0.0,0.9699999999999993,0.9999999999999998,0.0,0.5049999999999997,0.0,0.9943223215095708,0.0,0.010000000000000007,0.0,0.010000000000000007,0.03000000000000003,0.9499999999999993,0.0,0.020000000000000018,0.0,0.050000000000000044,0.6117963595089758,0.6317963595089758,0.040000000000000036,0.020000000000000018,0.020000000000000014,0.0,0.0,0.0013553569808581283,0.010000000000000007,0.020000000000000018,0.010000000000000009,0.0,0.010000000000000007,0.0
0.5,0.25916143836836614,0.35649423267932062,0.0,0.99999999999999967,0.0,0.55839554838073535,0.020000000000000018,145130405486.28503,0.1726402048467429,0.16264020484674288,0.7449426319893849,0.020000000000000018,0.010000000000000009,0.0,0.0,0.9203995196700745,0.0,0.9403995196700745,0.924583074395514,0.6577767312191838,0.020000000000000018,0.020000000000000018,0.7349426319893849,0.3815968284118347,0.0,0.9933333333333327,0.020000000000000014,0.6317365049214986,0.6517365049214983,0.0,0.0,0.5558955483807354,0.5558955483807354,0.010000000000000009,0.17264020484674286,0.9999999999999996,0.0,0.3665968284118346,0.0,0.9949999999999988,0.0,0.26680634317633045,0.0,0.0,0.010000000000000009,0.17264020484674286,0.0,0.0,0.010000000000000009,0.010000000000000009,0.5658955483807354,0.9999999999999997,0.0,0.020000000000000018,0.0,0.0,0.0,0.010000000000000009,0.7449426319893848,0.020000000000000018,0.010000000000000009,0.0,0.010000000000000007,0.0
0.6,0.28924340589522402,0.34863170499309742,0.0,0.99999999999999989,0.010000000000000009,0.4285235198636056,0.14091878536176036,161976307301.32547,0.26982167463257295,0.020000000000000014,0.97,0.26982167463257295,0.0,0.010000000000000009,0.010000000000000009,0.7201783253674267,0.0,0.9999999999999999,0.3299999999999998,0.3863646931514741,0.3863646931514741,0.020000000000000018,0.97,0.34999999999999987,0.020000000000000014,0.871211768949508,0.4063646931514741,0.5112117689495086,0.9175764621009823,0.010000000000000009,0.0,0.505,0.495,0.2618375707235207,0.01999999999999965,0.9999999999999997,0.0,0.3299999999999998,0.010000000000000009,0.9999999999999997,0.010000000000000009,0.33999999999999947,0.020000000000000018,0.01999999999999965,0.010000000000000009,0.0,0.0,0.010000000000000009,0.0,0.0,0.5049999999999999,0.9999999999999999,0.0,0.0,0.2718375707235207,0.2618375707235211,0.2618375707235207,0.010000000000000009,0.98,0.0,0.010000000000000009,0.010000000000000009,0.4063646931514741,0.0
0.7,0.32514802090623446,0.3517807041539508,0.0,1.0000000000000004,0.010000000000000007,0.53946947462790729,0.15177658917875053,182082891707.49118,0.626130172694876,0.020000000000000014,0.9168846587632293,0.6987149779276375,0.010000000000000009,0.0,0.010000000000000007,0.5402844545709062,0.0,0.9999999999999997,0.46080821605401046,0.5149999999999997,0.5149999999999997,0.030000000000000023,0.9268846587632295,0.47080821605401046,0.02000000000000002,0.8732234108212499,0.5149999999999997,0.4949999999999997,1.0000000000000004,0.010000000000000007,0.010000000000000007,0.4999999999999997,0.5099999999999997,0.594114276603928,0.030000000000000027,0.6496678613331258,0.0,0.27355317835750104,0.0,0.9999999999999999,0.0,0.3682234108212493,0.03000000000000003,0.0,0.0,0.010000000000000007,0.0,0.0,0.0,0.0,0.5391978146469076,1.0000000000000004,0.010000000000000007,0.0,0.4968974639850531,0.44769964933814516,0.594114276603928,0.010000000000000007,0.9460824734101375,0.010000000000000007,0.0,0.010000000000000009,0.5049999999999997,0.010000000000000009
0.8,0.32412748393073987,0.37317025129608644,0.0,0.99999999999999989,0.0,0.67455059613933921,0.025074578033021374,181511391001.21436,0.6700000000000002,0.0,0.4481727092473873,0.9999999999999999,0.040000000000000036,0.0,0.0,0.6599999999999999,0.0,0.9999999999999999,0.8500745780330207,0.7020505961393391,0.6820505961393392,0.030000000000000023,0.4481727092473873,0.819925421966978,0.010000000000000009,0.5536650338391593,0.6720505961393393,0.06373961187218113,0.7357902080115203,0.01000000000000001,0.0,0.49999999999999983,0.49999999999999983,0.6700000000000002,0.020000000000000018,0.010000000000000007,0.0,0.0,0.010000000000000007,0.9999999999999991,0.020000000000000018,0.49007457803302107,0.020000000000000018,0.020149156066042725,0.0,0.010000000000000007,0.0,0.0,0.0,0.0,0.9849999999999989,0.999999999999999,0.0,0.010000000000000007,0.8249999999999994,0.3299999999999998,0.7000000000000001,0.020000000000000018,0.9031727092473866,0.010000000000000007,0.0,0.010000000000000009,0.6920505961393391,0.0
0.9,0.31691639833885826,0.38497107305771733,0.0,0.999999999999999,0.0074999999999997291,0.66499999999999948,0.020000000000000018,177473183069.76068,0.6799999999999996,0.0,0.030000000000000023,0.999999999999999,0.010000000000000007,0.0,0.010000000000000009,0.17913770039159393,0.0,0.5291377003915941,0.9280548712463661,0.9518897168943574,0.9518897168943574,0.0,0.020000000000000014,0.5562197151909615,0.020000000000000018,0.24621971519096178,0.9618897168943574,0.019999999999999647,0.9518897168943574,0.0,0.0,0.8602640726265927,0.5506005062933621,0.6799999999999996,0.040000000000000036,0.0,0.17329241418307292,0.0,0.01000000000000001,0.824274586437328,0.020000000000000018,0.5980548712463665,0.0,0.48280682445026135,0.01000000000000001,0.01000000000000001,0.0,0.010000000000000009,0.0,0.0,0.9619390656024335,0.9586057322691002,0.0,0.00999999999999964,0.8946309734921445,0.33999999999999925,0.6599999999999995,0.010000000000000007,0.5846309734921451,0.00999999999999964,0.020000000000000018,0.020000000000000018,0.9618897168943574,0.0
1.0,0.28470485055203154,0.34106447973630055,0.0,1.0009665685705764,0.005907400173645605,0.51822004836688507,0.029999999999999884,159434716309.13766,0.9084115303394745,0.17085061283592168,0.020000000000000018,0.9999999999999999,0.03999999999999975,0.0,0.0,0.010000000000000148,0.0,0.279716462388026,1.0009665685705764,0.5146949938148315,0.5146949938148314,0.01000000000000001,0.040000000000000036,0.2897164623880259,0.0,0.0,0.5046949938148314,0.020000000000000014,0.5246949938148315,0.0,0.010000000000000007,0.999999999999999,0.5139382667824304,0.5694329247760517,0.33897860556342313,0.0,0.5160617332175695,0.007876533564860807,0.010000000000000009,0.7212501061825505,0.01999999999999974,0.7012501061825505,0.020000000000000018,0.9921234664351383,0.007876533564860807,0.33897860556342313,0.0,0.010000000000000007,0.0,0.0,0.7120759507152792,0.5074744417867866,0.0,0.020000000000000014,0.981792413103305,0.279716462388026,0.5594329247760516,0.0,0.7020759507152792,0.020000000000000014,0.010000000000000009,0.0,0.5246949938148315,0.0
